SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612766,CHA,Charlotte Hornets,0021900813,2020-02-12,CHA @ MIN,W,241,115,43,92,0.467,14,34,0.412,15,23,0.652,12,40,52,22,7,4,13,16,7.0
22019,1610612766,CHA,Charlotte Hornets,0021900793,2020-02-10,CHA @ DET,W,241,87,33,88,0.375,9,36,0.25,12,14,0.857,13,32,45,19,10,3,10,15,11.0
22019,1610612766,CHA,Charlotte Hornets,0021900778,2020-02-08,CHA vs. DAL,L,241,100,38,87,0.437,11,36,0.306,13,18,0.722,12,27,39,15,5,4,10,13,-16.0
22019,1610612766,CHA,Charlotte Hornets,0021900752,2020-02-04,CHA @ HOU,L,240,110,39,83,0.47,13,33,0.394,19,24,0.792,12,41,53,22,2,2,17,18,-15.0
22019,1610612766,CHA,Charlotte Hornets,0021900741,2020-02-03,CHA vs. ORL,L,240,100,41,89,0.461,9,31,0.29,9,14,0.643,15,31,46,24,8,2,12,16,-12.0
22019,1610612766,CHA,Charlotte Hornets,0021900734,2020-02-01,CHA @ SAS,L,241,90,35,83,0.422,10,36,0.278,10,12,0.833,6,31,37,29,5,7,17,18,-24.0
22019,1610612766,CHA,Charlotte Hornets,0021900715,2020-01-30,CHA @ WAS,L,239,107,43,99,0.434,9,30,0.3,12,19,0.632,16,22,38,32,9,4,7,24,-14.0
22019,1610612766,CHA,Charlotte Hornets,0021900699,2020-01-28,CHA vs. NYK,W,239,97,34,88,0.386,8,32,0.25,21,27,0.778,16,35,51,22,5,4,13,14,5.0
22019,1610612766,CHA,Charlotte Hornets,0021900669,2020-01-24,CHA vs. MIL,L,240,103,32,86,0.372,14,39,0.359,25,30,0.833,8,31,39,24,6,3,13,22,-13.0
22019,1610612766,CHA,Charlotte Hornets,0021900642,2020-01-20,CHA vs. ORL,L,241,83,29,76,0.382,10,33,0.303,15,20,0.75,9,30,39,21,4,5,18,18,-23.0
